datetime,open,high,low,close,volume
2023-11-24 01:17:00,37453.71,37464.43,37440.08,37442.51,7.5986
2023-11-24 01:18:00,37442.51,37462.93,37441.82,37462.93,4.3809
2023-11-24 01:19:00,37462.93,37472.43,37460.57,37461.97,4.0438
2023-11-24 01:20:00,37461.97,37461.99,37439.25,37439.96,5.2648
2023-11-24 01:21:00,37439.96,37455.41,37439.96,37447.1,5.4082
2023-11-24 01:22:00,37447.1,37447.1,37432.15,37440.41,8.1024
2023-11-24 01:23:00,37440.41,37459.59,37429.19,37459.51,8.1397
2023-11-24 01:24:00,37459.51,37459.51,37436.78,37445.98,4.01
2023-11-24 01:25:00,37445.98,37445.98,37436.78,37436.78,2.2014
2023-11-24 01:26:00,37436.78,37436.79,37423.11,37423.15,5.6477
2023-11-24 01:27:00,37423.15,37431.41,37423.15,37431.38,7.3567
2023-11-24 01:28:00,37431.38,37461.05,37431.38,37451.26,11.9781
2023-11-24 01:29:00,37451.26,37466.19,37445.46,37460.94,11.9117
2023-11-24 01:30:00,37460.94,37474.96,37460.94,37465.23,7.791
2023-11-24 01:31:00,37465.23,37475.15,37465.23,37468.47,5.3623
2023-11-24 01:32:00,37468.47,37475.15,37454.0,37472.35,7.0112
2023-11-24 01:33:00,37472.35,37473.6,37468.02,37468.22,4.7565
2023-11-24 01:34:00,37468.22,37468.22,37449.4,37449.41,6.9341
2023-11-24 01:35:00,37449.41,37457.29,37444.73,37454.02,4.4517
2023-11-24 01:36:00,37454.02,37456.28,37441.9,37441.94,1.9991
2023-11-24 01:37:00,37441.94,37441.94,37431.53,37431.68,4.3775
2023-11-24 01:38:00,37431.68,37431.73,37427.17,37428.0,7.5973
2023-11-24 01:39:00,37428.0,37428.0,37426.35,37427.93,9.2419
2023-11-24 01:40:00,37427.93,37427.94,37417.17,37417.17,8.5718
2023-11-24 01:41:00,37417.17,37417.17,37399.61,37410.57,8.9758
2023-11-24 01:42:00,37410.57,37410.57,37399.18,37399.19,5.1573
2023-11-24 01:43:00,37399.19,37408.47,37395.11,37403.41,2.8747
2023-11-24 01:44:00,37403.41,37411.35,37401.12,37408.66,2.9882
2023-11-24 01:45:00,37408.66,37422.57,37408.01,37422.57,6.8759
2023-11-24 01:46:00,37422.57,37422.62,37412.42,37413.18,10.1329
2023-11-24 01:47:00,37413.18,37413.19,37412.32,37412.4,5.3756
2023-11-24 01:48:00,37412.4,37423.13,37412.4,37419.61,5.1097
2023-11-24 01:49:00,37419.61,37419.62,37407.99,37407.99,4.9157
