datetime,open,high,low,close,volume
2023-11-25 03:18:00,37839.3,37839.3,37839.0,37839.3,26.882
2023-11-25 03:19:00,37839.3,37851.6,37839.2,37851.5,69.548
2023-11-25 03:20:00,37851.5,37851.6,37851.1,37851.6,54.186
2023-11-25 03:21:00,37851.6,37851.7,37845.0,37845.1,58.147
2023-11-25 03:22:00,37845.1,37845.1,37838.8,37838.9,82.267
2023-11-25 03:23:00,37838.9,37859.0,37838.9,37857.7,92.955
2023-11-25 03:24:00,37857.7,37857.7,37857.6,37857.7,39.102
2023-11-25 03:25:00,37857.7,37857.9,37854.5,37854.5,51.78
2023-11-25 03:26:00,37854.5,37854.5,37849.2,37849.5,77.142
2023-11-25 03:27:00,37849.5,37849.5,37849.4,37849.5,38.673
2023-11-25 03:28:00,37849.5,37849.5,37844.2,37844.5,75.263
2023-11-25 03:29:00,37844.5,37844.5,37843.4,37843.4,52.009
2023-11-25 03:30:00,37843.4,37856.6,37834.1,37834.3,87.62
2023-11-25 03:31:00,37834.3,37849.6,37834.3,37845.5,81.487
2023-11-25 03:32:00,37845.5,37845.5,37825.3,37827.1,51.679
2023-11-25 03:33:00,37827.1,37839.7,37827.1,37834.9,63.892
2023-11-25 03:34:00,37834.9,37838.1,37832.6,37838.0,27.646
2023-11-25 03:35:00,37838.0,37838.1,37829.6,37830.0,31.523
2023-11-25 03:36:00,37830.0,37845.3,37829.7,37837.8,110.096
2023-11-25 03:37:00,37837.8,37837.8,37822.1,37822.1,45.537
2023-11-25 03:38:00,37822.1,37831.8,37818.8,37829.1,74.818
2023-11-25 03:39:00,37829.1,37829.1,37822.7,37826.6,87.415
2023-11-25 03:40:00,37826.6,37826.8,37820.2,37820.2,67.398
2023-11-25 03:41:00,37820.2,37821.2,37816.8,37816.8,60.188
2023-11-25 03:42:00,37816.8,37816.8,37816.6,37816.6,65.587
2023-11-25 03:43:00,37816.6,37836.2,37816.6,37832.6,63.687
2023-11-25 03:44:00,37832.6,37836.3,37832.1,37832.1,62.892
2023-11-25 03:45:00,37832.1,37837.8,37826.1,37837.8,43.399
2023-11-25 03:46:00,37837.8,37837.8,37763.3,37810.0,489.714
2023-11-25 03:47:00,37810.0,37815.4,37806.0,37806.0,35.881
